idea_id,date_added,status,product,recipient,occasion,personalization,angle,hook,source,search_vol,search_slope,mktpl_velocity,social_signal,score_demand,score_compgap,score_giftability,score_margin,score_seasonality,score_brandfit,composite,test_tier,test_spend,ctr,atc_rate,cvr,cpa,verdict,learnings,reusable_creative
IDEA-0001,2026-07-09,backlog,ceramic mug,mom,mother's day,name,sentimental,Best Mom Ever + kids' names,ahrefs+etsy,8100,rising,high,med,4.6,3,5,5,3,5,4.28,,,,,,,,,
IDEA-0002,2026-07-09,testing,acrylic ornament,new pet parents,christmas,pet photo,sentimental,First Christmas as a family of [n],pinterest+etsy,2400,rising,high,high,4.8,3,5,5,5,5,4.54,1,0,,,,,pending,,
IDEA-0003,2026-07-09,killed,phone case,coworker,birthday,initials,funny,generic sassy office quote,competitor,900,flat,low,low,1.8,2,2,3,3,3,2.30,2,35.00,0.6,,,,kill,"low CTR (0.6%) + weak ATC; angle too generic, no clear gift trigger",
IDEA-0004,2026-07-09,winner,stainless tumbler,dog mom,evergreen,pet name+photo,identity,Dog Mom + pet portrait,tiktok+internal-search,5400,rising,high,high,4.7,4,4,4,5,5,4.45,3,180.00,2.1,4.8,3.1,9.20,scale,cost-per-ATC well under margin; expand angle to cat mom + blanket/canvas,tumbler-dogmom-v2
IDEA-GPD01,2026-07-10,greenlit,ceramic mug,grandma,grandparents day,grandkids names,sentimental/milestone,Grandma + grandkids' names (Promoted to Grandma),ahrefs+etsy+pinterest+tiktok,2200,rising,46 in-cart (promoted-to-grandma),pinterest med; tiktok product-mug low,4.3,3,5,4,5,5,4.24,,,,,,,,social pulled: pinterest saves + tiktok plays/saves,
IDEA-GPD02,2026-07-10,greenlit,sweatshirt,grandma,grandparents day,grandkids names + birth flowers,identity/sentimental,Grandma's Garden — a birth flower per grandchild,ahrefs+etsy+pinterest+tiktok,250,rising,64 in-cart (floral applique swtsht),pinterest: birth-flower DOMINANT theme,4.5,3,5,3,5,5,4.15,,,,,,,,social pulled: pinterest saves + tiktok plays/saves,
IDEA-GPD15,2026-07-10,greenlit,tea towel / mug,grandma,grandparents day,grandma's handwritten recipe,sentimental/nostalgic,Grandma's Recipe — in her own handwriting,ahrefs+etsy+pinterest+tiktok,500,rising,recipe-cookbook sellers; handwriting recipe on Etsy,"tiktok recipe-frame keepsake VIRAL (193K plays, 5.8K saves)",3.7,3,5,4,5,5,4.06,,,,,,,,social pulled: pinterest saves + tiktok plays/saves,
IDEA-GPD07,2026-07-10,greenlit,ceramic mug,grandpa,grandparents day,grandkids names,milestone,"First Dad, Now Grandpa",ahrefs+etsy+pinterest+tiktok,4900,rising,178 in-cart (bestseller),pinterest present; tiktok product-mug low,3.6,3,5,4,5,5,4.03,,,,,,,,social pulled: pinterest saves + tiktok plays/saves,
IDEA-GPD03,2026-07-10,backlog,necklace (jewelry),grandma,grandparents day,grandkids birthstones/names,sentimental,A birthstone for every grandchild,ahrefs+etsy+pinterest+tiktok,350,rising,291 in-cart (name necklace),tiktok jewelry/memorial 82K plays; pinterest present,3.8,3,5,4,5,4,3.99,,,,,,,,social pulled: pinterest saves + tiktok plays/saves,
IDEA-GPD04,2026-07-10,backlog,stainless tumbler,grandma,grandparents day,grandkids names + birth flower,identity,Nana's Garden tumbler,ahrefs+etsy+pinterest+tiktok,600,rising,birth-flower tumbler bestsellers,pinterest: birth-flower DOMINANT theme,3.9,3,4,4,5,5,3.97,,,,,,,,social pulled: pinterest saves + tiktok plays/saves,
IDEA-GPD05,2026-07-10,backlog,fleece/woven blanket,grandma,grandparents day,"grandkids names, floral",sentimental,Grandma's woven family blanket,ahrefs+etsy+pinterest+tiktok,500,steady,24 in-cart (woven blanket),moderate social,3.0,4,5,3,5,5,3.9,,,,,,,,social pulled: pinterest saves + tiktok plays/saves,
